Date,Close,Volume
2021-08-30,449.207642,48357400
2021-08-31,448.542145,59300200
2021-09-01,448.780518,48721400
2021-09-02,450.161255,42501000
2021-09-03,450.051971,47170500
2021-09-07,448.44278,51671500
2021-09-08,447.896484,56181900
2021-09-09,445.979401,57970400
2021-09-10,442.463043,89848000
2021-09-13,443.595428,83738600
2021-09-14,441.201538,78197100
2021-09-15,444.886749,78792200
2021-09-16,444.181488,77786700
2021-09-17,439.854675,118425000
2021-09-20,432.520447,166445500
2021-09-21,432.111908,92526100
2021-09-22,436.327057,102350100
2021-09-23,441.628448,76396000
2021-09-24,442.355896,62094800
2021-09-27,441.090363,61371100
2021-09-28,432.201569,130436300
2021-09-29,432.929016,82329200
2021-09-30,427.637634,140181200
2021-10-01,432.719757,129240100
2021-10-04,427.139374,128570000
2021-10-05,431.58374,90682500
2021-10-06,433.377441,113032200
2021-10-07,437.124268,72437500
2021-10-08,436.327057,74492900
2021-10-11,433.168182,65233300
2021-10-12,432.101929,71181200
2021-10-13,433.656464,72974000
2021-10-14,440.950836,70236800
2021-10-15,444.309021,66226800
2021-10-18,445.62442,62213200
2021-10-19,449.062347,46996800
2021-10-20,450.826141,49571600
2021-10-21,452.002014,41305400
2021-10-22,451.533661,58845100
2021-10-25,453.955139,45214500
2021-10-26,454.363708,56075100
2021-10-27,452.3508,72438000
2021-10-28,456.715454,51437900
2021-10-29,457.642181,70108200
2021-11-01,458.429443,48433600
2021-11-02,460.282898,48908400
2021-11-03,463.093048,52509800
2021-11-04,465.275391,52847100
2021-11-05,466.889709,66332200
2021-11-08,467.2883,50405200
2021-11-09,465.743744,51149100
2021-11-10,461.996887,69429700
2021-11-11,462.146362,34848500
2021-11-12,465.634094,53423300
2021-11-15,465.793549,46980500
2021-11-16,467.637085,48857500
2021-11-17,466.501099,47858300
2021-11-18,468.08551,50625600
2021-11-19,467.248474,57315600
2021-11-22,465.933075,72762000
2021-11-23,466.550903,73206500
2021-11-24,467.796509,61858800
2021-11-26,457.36319,112669600
2021-11-29,462.97348,86268800
2021-11-30,453.965118,148559600
2021-12-01,448.922821,131939200
2021-12-02,455.798676,127637800
2021-12-03,451.832611,137167700
2021-12-06,457.183807,98977500
2021-12-07,466.640594,95484700
2021-12-08,467.876221,72238800
2021-12-09,464.717346,61272600
2021-12-10,469.091949,76949400
2021-12-13,464.936584,87724700
2021-12-14,461.737793,97264100
2021-12-15,468.952454,116899300
2021-12-16,464.816986,116568600
2021-12-17,459.869995,135511600
2021-12-20,454.980011,107134800
2021-12-21,463.059998,69806300
2021-12-22,467.690002,58890200
2021-12-23,470.600006,56439700
2021-12-27,477.26001,56808600
2021-12-28,476.869995,47274600
2021-12-29,477.480011,54503000
2021-12-30,476.160004,55329000
2021-12-31,474.959991,65237400
2022-01-03,477.709991,72668200
2022-01-04,477.549988,71178700
2022-01-05,468.380005,104538900
2022-01-06,467.940002,86858900
2022-01-07,466.089996,85064800
2022-01-10,465.51001,119362000
2022-01-11,469.75,74303100
2022-01-12,471.019989,67605400
2022-01-13,464.529999,91173100
2022-01-14,464.720001,95849600
2022-01-18,456.48999,109709100
2022-01-19,451.75,109357600
2022-01-20,446.75,122379700
2022-01-21,437.980011,201913500
